#
# Sprite sheet data for Unity.
#
# To import these sprites into your Unity project, download "TexturePackerImporter":
# http://www.codeandweb.com/texturepacker/unity
#
# Sprite sheet: FlashIconEffect.png (256 x 512)
# $TexturePacker:SmartUpdate:bdc1d5034ae1b3200e00774ae3a2bf87:bf235e4279345e518e9744fac23f9b03:438f0418d2ad674e124ec404d28ebf61$
#

20001;2;440;70;70;0.5;0.5
20002;74;440;70;70;0.5;0.5
20003;146;440;70;70;0.5;0.5
20004;2;368;70;70;0.5;0.5
20005;74;368;70;70;0.5;0.5
20006;146;368;70;70;0.5;0.5
20007;2;296;70;70;0.5;0.5
20008;74;296;70;70;0.5;0.5
20009;146;296;70;70;0.5;0.5
20010;2;224;70;70;0.5;0.5
20011;74;224;70;70;0.5;0.5
