#
# Sprite sheet data for Unity.
#
# To import these sprites into your Unity project, download "TexturePackerImporter":
# http://www.codeandweb.com/texturepacker/unity
#
# Sprite sheet: EnergyIconEffect.png (256 x 256)
# $TexturePacker:SmartUpdate:242d59c10ba6d86bb8fe6573812a1d2e:c4be8c5240207d4088b934f514d798e0:b0df058f128967faf96b38c20426dd15$
#

00004;2;198;56;56;0.5;0.5
00005;2;140;56;56;0.5;0.5
00006;2;82;56;56;0.5;0.5
00007;2;24;56;56;0.5;0.5
00008;60;198;56;56;0.5;0.5
00009;118;198;56;56;0.5;0.5
00010;176;198;56;56;0.5;0.5
00011;60;140;56;56;0.5;0.5
00012;60;82;56;56;0.5;0.5
00013;60;24;56;56;0.5;0.5
00014;118;140;56;56;0.5;0.5
00015;176;140;56;56;0.5;0.5
